SEXO,EDAD_EXACTA,GSE,E9_1,E9_2,E9_3,E9_4,E9_5,F1_1,F1_2,F1_3,F1_4,F1_5,F1_6,F2_1,F2_2,F2_3,F6_1,F6_2,F6_3,I1,I10,I11,I12,I13_1,I13_2,I13_3,I13_4,I13_5,I13_6,I13_7,I13_8,C1_1,C1_2,C1_3,C1_4,C1_5,C1_6,C1_7,C1_8,C1_9,T1,T3_1,T3_2,T3_3,T3_4,T3_5,T3_6,T3_7,Z1,Z2,Z5,Z8,Z10,Z12_1,Z12_2,Z20_1,Z20_2,Z20_3,Z20_4,Z20_5,Z20_6,Z20_7,Z20_8,Z20_9,Z20_10,Z20_11,Z22,W3,W13
2,15,2,4,4,3,2,4,4,3,3,4,3,3,4,2,4,1,1,1,2,3,5,4,6,8,7,3,5,7,3,8,4,3,3,3,3,5,5,5,4,3,4,4,3,4,4,4,4,1,2,1,3,,2,99,99,4,1,1,2,5,2,1,4,1,99,1,3,2
1,15,2,4,4,3,1,3,4,3,3,3,3,4,3,3,3,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,4,99,99,99,99,5,5,4,4,99,99,99,99,99,99,99,99,1,1,1,2,,3,4,5,4,2,1,5,5,5,1,1,1,5,1,3,2
2,15,2,4,4,4,2,3,4,4,4,4,4,4,2,2,2,1,1,2,3,3,9,2,6,5,5,3,3,5,3,9,5,3,1,2,1,1,2,1,2,3,5,5,2,5,5,5,5,1,1,1,2,,2,4,5,5,2,4,4,5,4,2,2,4,5,1,2,2
1,15,3,3,4,99,99,2,5,3,99,4,4,3,4,4,4,2,2,2,2,3,10,7,10,10,10,10,10,10,10,10,5,6,3,5,5,6,7,5,6,2,2,2,3,2,4,4,4,1,1,1,2,,3,4,99,4,1,5,4,5,1,1,3,1,99,1,3,2
1,15,3,5,5,1,1,5,5,5,3,5,1,3,5,1,3,2,2,2,1,1,4,6,10,10,10,1,10,10,1,10,5,2,2,1,1,4,6,8,4,4,5,3,3,4,4,3,4,1,1,1,1,,5,99,5,5,4,5,5,5,5,1,1,1,5,5,2,2
2,15,3,5,5,5,99,99,5,5,1,3,3,99,5,5,99,1,1,1,3,2,10,7,7,10,7,1,10,99,99,10,8,6,5,4,5,5,5,9,9,5,3,3,3,99,5,3,3,1,3,1,2,,3,4,5,5,3,5,5,4,1,5,1,5,5,1,3,2
1,15,3,5,4,4,3,4,5,5,5,5,3,2,4,4,99,1,2,1,1,3,10,4,1,10,10,99,7,10,6,10,8,2,1,2,1,5,5,6,7,3,4,4,4,5,1,2,2,1,1,2,2,,2,4,5,4,3,4,4,5,5,3,2,1,5,1,3,1
2,15,3,2,3,3,1,1,5,4,3,1,1,3,4,4,3,2,2,2,1,99,99,99,3,8,8,1,9,9,4,10,4,3,4,1,3,5,6,8,8,5,4,5,5,5,3,2,2,1,1,1,2,,3,4,2,4,2,3,4,4,3,1,1,1,2,1,2,2
2,15,3,4,2,2,4,2,5,4,99,3,99,4,4,4,3,2,2,2,1,3,99,99,99,10,10,99,99,10,10,10,4,4,3,4,3,5,5,4,4,4,3,2,2,2,5,5,5,1,1,1,1,,5,99,5,3,2,4,4,4,2,1,2,2,5,,3,2
2,15,4,5,3,5,1,3,5,5,3,4,99,4,2,5,2,1,1,1,2,3,6,4,99,10,9,1,10,10,8,10,6,1,1,1,1,7,2,4,4,5,99,99,99,99,4,99,4,1,1,1,3,,3,4,4,4,4,4,2,4,1,1,5,2,4,2,2,2
1,15,4,4,3,4,3,2,4,3,3,2,4,4,4,5,4,2,2,2,1,2,10,5,10,10,10,2,99,5,2,10,7,1,6,2,5,3,4,4,5,5,5,5,4,5,5,5,4,1,1,1,3,,3,3,5,5,4,5,5,5,1,1,4,2,5,1,3,2
2,15,4,5,5,99,4,5,5,5,99,1,99,99,99,99,99,2,2,2,1,99,99,99,5,5,5,99,10,99,10,10,5,5,4,4,4,8,8,5,5,99,3,3,4,5,5,5,5,1,1,1,2,,3,99,4,4,4,4,3,4,3,1,1,1,4,,3,99
2,15,4,5,4,1,2,5,4,4,3,4,2,3,5,4,5,2,2,1,1,3,7,10,7,7,10,7,6,6,2,10,3,6,6,5,5,10,6,3,6,3,4,4,4,4,3,3,4,1,3,1,,2,3,4,4,2,2,4,2,4,1,1,2,1,4,2,3,2
2,15,4,4,3,4,1,2,4,3,3,4,3,5,5,5,3,2,2,2,1,3,7,8,10,10,10,1,9,99,10,10,5,5,3,8,7,6,5,8,8,5,4,4,3,4,4,2,5,1,1,1,2,,3,3,5,5,4,5,5,5,1,1,5,1,5,1,3,2
1,15,4,2,3,3,3,3,4,4,3,4,3,3,4,4,3,2,2,2,1,3,7,5,7,5,8,2,6,8,6,8,5,3,2,4,2,5,5,4,4,5,3,3,3,3,1,4,4,1,1,1,1,,3,99,4,4,2,4,2,4,1,1,1,1,4,1,3,2
2,15,4,5,3,3,3,3,5,5,99,1,1,99,5,5,3,2,1,2,1,99,99,99,10,10,10,1,10,8,4,10,9,1,4,3,3,10,5,10,10,4,5,5,5,4,5,5,5,1,1,1,2,,2,2,4,4,4,4,4,4,3,1,1,1,4,,3,2
1,15,4,2,4,4,1,5,4,4,5,4,5,5,2,4,4,2,2,2,3,3,7,5,10,10,10,5,7,1,1,10,5,7,4,8,6,9,8,5,6,5,99,99,99,99,99,99,99,1,1,1,3,,3,3,4,5,1,3,4,4,2,1,2,1,4,1,3,2
2,15,4,5,4,2,2,1,5,3,4,4,4,4,5,5,2,1,2,2,2,1,8,6,8,10,9,7,8,9,8,10,5,4,1,6,3,5,4,4,5,4,4,4,4,2,4,4,4,1,1,1,2,,2,99,4,4,4,4,4,4,1,4,3,2,4,9,2,1
1,15,4,5,2,2,4,4,5,4,4,2,4,4,4,4,4,2,2,2,2,3,9,6,10,10,10,10,9,8,10,10,6,4,4,6,5,8,8,10,9,4,5,4,4,2,4,4,4,1,1,1,1,,5,4,4,4,4,1,2,1,1,1,1,1,4,1,3,2
2,15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,4,6,5,9,9,8,8,8,8,8,8,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,1,1,1,2,,3,4,4,4,1,4,1,4,1,1,1,4,4,,2,2
2,15,4,4,4,4,3,2,4,4,4,5,3,4,4,4,3,2,2,2,1,2,10,4,10,10,9,99,99,6,4,10,4,2,2,2,2,7,5,5,5,5,4,4,5,5,4,4,4,1,1,1,99,,3,99,2,2,1,1,1,1,1,1,1,1,2,1,3,1
2,15,5,2,3,3,3,3,5,5,99,5,99,99,3,3,3,2,2,2,1,3,7,5,10,10,10,99,99,10,10,10,4,1,1,1,1,4,4,4,4,4,5,5,5,5,5,5,5,1,2,1,,1,3,99,1,1,1,1,1,1,1,1,1,1,1,,3,1
2,15,5,1,2,2,2,2,1,1,3,3,1,3,1,1,3,2,2,2,1,3,6,6,10,10,9,2,3,9,1,10,8,1,2,1,2,10,10,10,9,2,3,3,1,2,5,5,4,1,3,1,2,,3,4,5,5,4,5,5,5,3,1,4,1,5,2,3,2
1,16,1,1,3,3,3,1,2,4,4,99,3,99,5,4,5,2,2,2,1,3,99,99,10,9,10,8,10,7,10,5,5,2,1,2,2,10,1,1,1,99,99,99,99,99,99,99,99,1,1,1,2,,1,1,5,5,4,5,5,5,2,1,1,2,5,,3,2
1,16,2,4,4,4,4,2,4,4,4,4,2,2,4,4,2,2,2,2,1,3,6,5,5,8,6,5,5,6,7,10,5,1,1,4,5,1,6,5,5,6,3,4,3,3,5,5,5,1,1,2,3,,3,2,5,1,5,4,5,5,1,1,5,1,5,,2,2
1,16,2,5,3,3,1,3,5,2,2,2,3,3,3,5,1,2,2,2,4,3,10,7,8,10,10,2,7,1,5,10,4,3,1,5,5,4,1,5,4,4,99,99,99,99,99,99,5,1,1,1,2,,2,4,5,3,3,1,5,5,2,2,1,1,5,,3,1
2,16,2,3,4,2,2,2,4,3,4,4,2,4,3,1,3,2,2,2,2,4,10,7,8,10,8,1,10,1,6,10,5,2,2,5,5,7,2,2,2,7,4,4,4,4,4,4,4,1,3,1,,9,2,2,5,5,5,5,1,5,4,4,1,1,5,1,1,2
2,16,3,2,2,3,3,3,4,3,4,4,4,4,4,4,4,2,2,2,1,2,6,5,5,5,6,5,5,6,5,5,4,5,5,6,5,5,6,6,6,4,4,4,3,2,4,4,4,1,3,1,2,,3,4,99,4,3,5,4,3,1,2,2,2,99,,3,2
2,16,3,3,3,1,1,5,5,3,1,5,1,4,4,2,3,2,2,2,1,2,5,5,10,9,10,7,10,8,3,10,4,1,1,1,1,3,6,7,7,6,4,4,3,5,1,4,4,1,3,1,3,,2,3,4,4,2,5,5,3,4,1,5,5,4,1,2,2
1,16,4,4,4,4,3,4,3,2,2,1,5,4,3,3,3,1,1,1,2,1,6,10,10,6,10,7,6,9,7,10,3,10,6,8,7,10,10,7,8,5,5,4,5,3,5,4,4,1,1,1,1,,5,99,4,1,1,2,4,4,1,1,5,1,4,,3,2
1,16,4,4,4,4,99,2,4,4,4,4,2,4,4,4,2,1,2,2,1,99,99,99,99,99,99,99,99,99,99,99,6,1,1,3,1,10,10,5,5,7,4,4,4,4,2,2,4,1,6,1,1,,5,99,99,5,5,1,4,5,1,1,1,3,99,,2,1
1,16,4,2,3,3,3,2,5,4,4,1,3,3,2,4,3,2,2,2,2,2,10,5,5,10,10,7,8,10,10,10,4,7,3,3,3,5,9,8,8,5,3,3,4,99,4,4,4,1,1,1,2,,2,2,5,3,3,4,5,5,5,2,2,2,5,,3,2
1,16,4,5,3,3,4,5,5,4,5,2,1,3,4,3,5,2,2,2,2,4,6,7,8,5,9,3,8,7,6,9,6,5,4,1,3,5,5,5,5,1,1,2,1,1,2,2,2,1,3,1,3,,3,4,4,2,1,4,5,5,4,1,5,4,4,2,2,2
2,17,2,4,2,1,1,2,4,5,3,3,2,3,2,5,3,1,1,1,3,2,10,5,6,8,7,4,5,6,4,10,5,3,3,1,3,3,5,3,3,4,4,4,5,4,4,4,4,1,3,1,2,,2,4,4,4,4,4,4,4,2,1,2,2,4,,2,2
2,17,2,2,3,3,3,3,4,4,4,4,4,4,4,4,99,1,1,2,1,3,10,6,99,99,99,99,99,99,99,10,6,3,3,4,3,3,1,6,6,5,4,4,4,4,4,4,4,1,3,1,3,,3,4,99,99,99,99,99,99,99,99,1,1,99,5,3,2
2,17,2,2,3,4,3,3,4,4,4,4,2,4,4,4,2,1,1,1,4,4,9,8,7,8,5,3,5,4,3,10,3,1,1,3,3,4,4,6,6,1,4,3,4,5,4,3,4,1,3,1,2,,2,4,5,5,5,5,5,5,4,2,3,1,5,,2,1
1,17,2,4,4,4,4,4,3,3,2,2,3,2,4,4,4,2,2,2,1,99,5,5,9,8,6,7,7,8,8,7,6,6,6,6,6,7,7,8,8,4,4,4,4,3,3,4,4,1,1,1,2,,2,2,4,4,4,4,5,5,4,4,3,4,4,1,3,2
1,17,3,3,4,3,3,4,4,3,3,2,3,4,3,2,99,2,2,2,1,3,8,6,6,9,10,1,4,5,1,10,6,6,5,6,5,5,7,7,8,6,3,3,3,3,5,5,5,1,1,1,3,,2,4,5,5,4,5,4,5,4,1,5,4,5,1,3,2
1,17,4,2,2,1,1,1,5,4,3,5,3,4,5,5,4,1,1,1,2,3,7,6,7,7,8,7,7,6,5,10,6,5,4,1,5,5,7,7,8,4,4,4,4,4,4,3,4,1,2,1,2,,3,3,5,2,4,5,5,5,3,2,5,4,5,,2,2
1,17,4,5,2,1,1,2,5,5,4,2,3,4,4,2,2,1,1,1,1,3,8,4,10,10,10,1,10,10,1,10,5,2,2,1,1,3,2,10,10,4,4,4,4,2,5,4,3,1,1,1,2,,3,3,5,5,2,3,4,5,3,1,1,1,5,1,3,2
1,17,4,3,3,99,3,3,4,1,1,5,5,5,5,5,2,2,2,1,1,1,10,5,10,10,10,10,10,10,10,10,5,3,1,1,1,99,5,8,8,3,4,4,3,3,4,1,2,1,2,1,1,,3,3,4,1,3,2,5,1,1,1,5,1,4,1,2,2
2,17,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,1,2,2,1,99,6,5,8,8,7,6,7,8,7,7,6,6,6,8,7,6,6,6,6,4,4,4,4,3,4,4,4,1,3,1,2,,2,2,3,3,4,3,3,3,3,4,4,4,3,,3,2
1,17,5,2,2,4,3,2,4,4,4,4,4,4,4,2,3,2,2,2,2,3,6,7,7,8,9,5,6,8,10,10,5,5,5,5,4,5,6,2,2,5,2,2,2,3,4,4,4,1,1,1,3,,3,4,5,4,2,5,3,5,3,1,1,1,5,1,2,1
1,17,5,4,3,2,2,3,4,4,3,4,4,3,3,3,3,2,1,2,1,3,7,6,10,9,10,6,7,9,10,10,9,4,3,5,1,9,5,5,5,5,3,3,3,3,4,4,3,1,1,1,2,,2,4,4,4,1,1,4,1,1,1,1,1,4,1,2,1
1,18,2,2,4,4,3,2,4,2,2,5,4,4,2,5,2,1,1,1,4,4,8,8,8,3,6,8,5,7,8,8,7,6,5,3,6,8,7,2,5,5,2,4,2,3,5,5,5,1,1,1,6,,3,3,5,5,2,5,3,5,4,2,3,3,5,1,2,2
2,18,2,3,3,3,3,3,4,4,3,4,3,3,4,3,3,1,2,2,1,4,10,5,10,10,10,8,10,10,9,10,8,5,5,5,5,8,8,8,8,4,3,3,3,99,4,4,3,1,3,1,2,,2,2,4,4,2,3,4,4,2,2,4,2,4,1,99,1
2,18,3,5,3,1,2,3,5,5,5,4,4,4,4,4,2,2,1,1,2,3,8,6,9,10,10,1,3,4,6,10,6,1,3,5,5,8,8,7,7,5,4,4,4,4,4,4,4,1,2,1,6,,3,2,5,4,2,4,5,5,5,1,1,1,5,1,2,2
1,18,3,3,2,1,1,5,5,5,5,5,5,5,5,5,5,2,2,2,1,4,10,10,1,10,10,1,10,5,10,10,10,1,1,10,1,10,5,1,1,5,3,3,1,4,5,2,5,1,1,1,6,,2,2,5,5,5,5,5,5,1,1,5,1,5,,2,2
1,18,3,5,4,4,1,5,5,5,5,1,4,2,4,4,4,1,1,1,1,1,10,2,10,10,10,1,2,10,2,10,1,2,2,2,2,1,1,5,5,5,4,4,5,5,2,4,3,1,1,1,2,,3,3,5,5,4,3,4,5,4,1,3,1,5,,3,2
1,18,3,3,4,2,5,3,5,5,99,5,5,5,99,99,99,2,2,2,1,3,4,9,6,9,8,6,6,5,6,6,6,5,6,5,4,5,6,6,5,5,99,99,5,1,4,3,99,1,1,1,2,,3,4,5,2,1,3,3,3,2,1,3,3,5,1,3,2
2,18,3,4,3,3,2,3,5,5,1,4,5,4,4,4,3,1,1,2,2,5,5,8,10,10,10,8,10,10,10,10,5,4,1,8,6,7,9,9,9,5,3,3,3,4,4,4,5,1,3,1,,3,3,3,5,5,5,5,3,5,2,1,3,1,5,1,2,2
2,18,3,4,3,3,4,3,4,4,4,4,2,3,4,2,4,2,2,2,2,3,10,7,10,5,10,1,5,8,10,5,7,7,7,7,7,7,8,8,8,5,4,4,4,3,5,4,4,1,1,1,2,,2,2,5,4,4,5,5,5,2,1,4,3,5,1,3,2
1,18,3,5,3,3,3,5,5,5,5,3,3,4,5,4,3,1,1,2,1,2,2,7,10,10,10,2,8,10,8,8,1,1,1,1,1,1,1,1,1,6,3,3,4,5,4,4,4,1,5,1,4,,3,3,4,4,4,3,3,5,2,1,3,2,4,5,1,2
2,18,3,3,3,4,99,2,5,2,4,4,4,2,4,4,2,2,2,2,1,3,8,5,10,10,10,6,99,8,7,10,7,4,3,6,3,8,8,7,5,3,4,4,99,99,4,4,4,1,2,1,2,,2,2,5,5,2,5,2,5,1,1,2,2,5,1,3,2
2,18,4,5,4,3,2,4,5,5,5,5,5,5,3,3,3,2,2,2,1,99,99,1,9,9,9,1,9,10,2,10,7,6,4,4,3,10,9,7,7,6,3,3,3,3,3,3,3,1,1,1,,3,3,3,4,99,2,4,1,4,1,1,1,2,4,1,3,2
2,18,4,4,4,2,4,4,4,4,3,3,3,3,3,3,3,1,1,2,2,99,99,99,8,8,6,6,8,7,7,7,6,1,1,1,1,1,1,3,5,4,4,4,4,3,4,4,3,1,5,1,2,,3,4,5,5,1,5,1,5,1,3,1,1,5,,2,1
1,18,4,5,3,1,1,1,2,5,3,3,3,3,4,5,3,1,1,2,1,3,8,7,10,10,10,1,10,10,3,10,2,2,1,1,1,5,2,1,1,1,5,5,4,4,5,5,4,1,1,1,2,,3,4,5,4,2,2,5,5,5,1,2,2,5,1,3,2
2,18,4,2,4,1,4,4,4,4,4,2,4,3,4,4,4,2,2,2,2,1,9,7,10,8,10,7,10,9,10,10,8,7,6,9,5,10,8,7,9,5,2,3,1,2,2,4,4,1,3,1,,1,3,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2
2,18,4,5,2,5,2,1,5,5,5,2,1,5,5,5,5,1,1,1,2,2,9,4,10,10,5,6,6,5,10,10,2,2,1,2,1,2,2,1,2,3,5,5,2,5,5,2,2,1,3,1,6,,3,2,99,5,5,5,5,5,1,2,1,1,99,1,3,2
1,19,1,4,4,3,2,1,4,4,4,3,2,3,4,4,4,1,1,1,2,3,8,4,6,7,7,2,6,6,6,8,5,4,4,4,3,5,2,4,3,5,4,4,4,4,5,5,5,1,3,1,6,,1,1,5,5,5,5,3,5,2,1,1,1,5,,2,2
2,19,1,4,3,2,2,4,5,5,4,2,2,3,2,4,2,1,1,2,4,2,10,4,3,10,4,1,10,3,5,10,5,4,1,4,1,5,2,4,4,6,4,4,3,4,4,4,4,1,1,1,6,,2,2,5,5,5,5,5,5,1,1,2,2,5,,2,2
2,19,2,5,1,1,1,2,5,5,4,5,4,4,3,3,3,2,2,2,2,3,9,7,5,10,10,1,9,9,8,10,3,3,3,3,2,4,5,9,9,3,5,4,3,5,5,4,4,1,3,1,,2,3,3,5,2,4,4,4,4,2,1,1,1,5,1,2,2
1,19,3,4,4,2,2,4,4,4,2,2,4,2,4,4,2,2,1,2,2,4,10,8,7,10,10,1,8,8,5,10,1,1,1,2,1,1,3,3,3,7,3,2,3,3,4,4,3,1,2,1,2,,2,99,5,4,4,4,5,5,4,1,1,1,5,,3,2
1,19,3,4,4,3,3,4,4,4,3,3,4,2,3,4,4,1,2,2,2,2,6,4,3,6,5,4,4,5,5,5,5,5,4,5,4,4,5,5,5,6,4,4,4,3,4,4,4,1,99,1,,2,3,2,99,4,4,3,3,2,2,1,1,4,99,,1,2
1,19,3,5,3,5,4,1,5,5,2,1,1,5,5,5,5,1,1,1,1,3,8,1,10,10,10,1,10,10,1,10,5,1,1,1,1,1,3,5,5,1,3,5,5,5,5,5,3,1,5,1,,2,3,3,2,3,4,3,4,4,4,1,1,1,2,,1,2
2,19,3,4,4,4,2,2,5,3,2,4,99,99,4,4,4,2,2,2,1,2,10,3,5,10,10,10,99,10,10,10,4,1,1,1,1,1,5,3,3,99,5,4,4,4,4,4,4,1,5,1,,1,3,4,99,1,1,5,1,5,1,1,5,99,99,,2,2
1,19,4,1,3,4,3,3,4,4,4,5,4,4,5,4,4,2,2,2,1,2,10,8,7,10,10,6,6,9,5,9,2,2,1,5,4,10,6,9,8,6,4,4,4,3,5,4,5,1,3,2,4,,3,3,5,4,5,2,1,2,1,1,1,1,5,,2,2
1,19,4,5,1,1,1,2,4,5,4,2,3,1,2,5,5,1,1,1,1,4,10,6,6,7,7,5,10,10,10,10,6,99,2,4,2,5,6,7,7,4,2,4,4,4,4,5,5,1,3,1,6,,2,2,5,1,1,1,1,4,1,1,4,1,5,,1,2
2,19,4,1,4,2,2,4,5,4,4,3,4,5,4,4,1,2,2,2,2,1,5,99,10,10,10,1,3,10,8,10,5,1,1,1,1,10,3,1,1,2,4,3,3,4,3,3,4,1,3,1,3,,3,4,2,4,2,1,1,3,1,1,1,2,2,2,2,2
1,19,4,5,99,99,99,1,5,5,3,3,5,5,1,4,1,2,1,1,1,2,10,6,9,10,8,3,10,5,10,10,7,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,1,1,1,,1,3,4,3,1,1,1,3,1,1,1,1,1,3,1,1,2
2,20,2,5,5,5,1,1,5,2,99,4,99,99,99,99,99,2,2,2,1,3,6,5,5,5,5,5,5,10,5,10,2,2,2,2,2,2,2,2,2,4,2,4,4,4,5,5,5,1,1,1,,6,2,2,99,2,2,2,2,2,2,2,2,2,99,12,2,1
2,20,2,2,4,5,5,2,5,2,3,5,4,2,3,3,3,2,2,2,2,3,8,6,4,6,6,7,8,1,6,10,5,3,3,4,3,4,5,5,5,7,4,4,4,4,4,4,4,1,1,1,6,,2,2,4,3,1,3,3,4,1,1,2,1,4,1,1,2
2,20,2,2,4,2,1,2,4,4,5,4,5,4,2,4,2,2,2,2,2,4,9,7,5,10,9,1,7,7,7,10,8,7,7,6,4,8,5,5,5,4,4,4,4,4,5,5,5,1,1,1,6,,3,3,5,5,1,5,1,5,1,1,1,1,5,1,1,2
1,20,2,5,3,4,2,1,5,5,3,4,99,99,5,2,2,1,1,1,2,3,9,7,10,10,6,2,2,7,7,6,5,2,2,2,2,4,6,8,8,6,4,4,4,4,5,5,5,1,3,1,6,,3,3,5,4,2,5,3,4,3,2,5,2,5,,2,2
1,20,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,2,2,2,2,2,6,7,7,6,5,6,6,5,5,5,3,3,4,4,4,4,4,4,4,2,3,3,3,3,3,3,3,1,1,99,,3,3,2,4,2,2,2,3,2,2,2,2,2,4,2,1,2
1,20,3,5,2,2,2,2,4,4,4,5,4,4,3,2,1,2,2,2,1,3,9,5,10,10,10,1,10,10,10,10,4,4,1,3,1,5,6,6,5,4,4,3,4,4,4,4,4,1,1,1,5,,3,3,5,5,3,4,5,5,2,1,1,1,5,,2,2
2,20,3,2,3,4,2,2,4,4,3,4,4,4,2,2,2,2,2,2,3,2,7,5,8,9,8,1,5,8,8,8,1,1,1,1,1,1,1,5,5,4,2,2,2,4,4,4,4,1,5,1,,3,2,3,99,99,99,99,99,99,99,99,99,99,99,,3,2
1,20,3,3,4,3,2,3,5,5,2,4,4,5,5,5,4,2,1,2,2,3,5,4,7,8,8,1,9,8,7,9,8,2,2,3,1,4,4,2,2,6,4,3,4,3,5,5,4,1,3,1,,3,3,2,5,2,4,5,5,5,1,1,1,1,5,1,1,2
1,20,4,5,4,5,2,4,5,5,3,4,3,4,5,5,3,2,2,2,1,4,10,8,8,10,10,10,7,1,5,10,4,1,1,1,1,1,1,1,1,5,4,1,2,2,5,4,5,1,3,1,,3,2,2,4,4,1,1,4,4,1,1,1,1,4,1,2,2
2,20,4,4,1,4,5,2,5,4,4,1,3,4,4,2,2,2,2,2,1,1,6,4,4,3,4,6,5,5,5,10,2,1,1,1,1,3,3,5,5,5,3,4,4,4,4,4,4,1,4,1,4,,3,3,5,5,5,5,4,5,2,2,3,1,5,2,2,2
2,20,4,5,3,3,4,5,4,4,3,4,3,3,3,4,4,2,2,2,1,3,5,6,9,9,8,9,8,7,7,6,7,6,5,5,4,10,9,9,9,5,4,4,3,5,4,4,3,1,3,1,,3,2,2,5,5,5,4,4,4,1,1,1,1,5,1,1,2
2,21,2,5,2,5,2,2,5,5,4,1,3,2,2,4,2,2,2,2,1,2,8,5,10,8,10,4,5,3,2,8,4,5,5,3,2,6,9,6,6,6,4,4,4,4,4,4,4,1,2,1,5,,3,3,5,5,3,5,4,5,2,2,5,2,5,1,3,2
2,21,2,5,3,3,1,3,5,5,1,5,5,3,5,1,3,1,1,2,1,99,99,99,99,99,99,99,99,99,99,99,9,1,3,8,1,10,10,10,10,3,5,1,1,5,5,5,5,1,3,1,,2,3,3,4,2,4,1,5,4,4,4,5,1,4,,1,1
2,21,2,2,4,3,4,2,4,5,4,4,4,4,4,4,3,2,2,2,2,2,8,4,10,10,10,1,1,10,10,10,7,8,7,6,7,6,8,8,8,5,3,1,3,3,5,3,4,1,1,1,99,,3,3,5,4,1,5,5,5,4,1,5,4,5,,1,2
2,21,3,4,99,4,2,1,5,5,99,5,5,5,4,3,3,2,2,2,1,4,10,8,10,10,10,1,99,5,3,10,5,5,4,5,5,6,5,5,5,4,5,5,5,5,5,5,5,1,3,1,,3,3,2,5,5,5,2,5,5,2,1,2,1,5,1,2,2
1,21,3,2,4,4,4,4,4,2,4,4,4,4,3,3,3,2,2,2,2,3,9,8,9,8,8,99,99,5,9,9,6,6,5,5,5,4,3,4,4,5,4,4,4,4,4,5,4,1,3,1,,1,3,4,4,3,4,4,4,4,4,2,4,1,4,1,1,2
1,21,3,1,1,3,3,3,5,5,4,3,3,3,4,4,5,2,1,1,1,2,6,5,10,9,10,1,9,10,8,10,6,4,2,2,2,3,5,5,6,2,3,3,3,3,4,3,3,1,1,1,,3,3,2,4,4,4,4,4,4,4,4,4,4,4,2,1,1
1,21,3,1,3,3,3,3,4,3,3,4,5,4,1,3,2,2,2,2,2,4,10,7,1,5,6,1,6,5,7,8,6,3,3,4,2,6,5,2,2,5,3,3,4,3,5,4,5,1,3,1,6,,3,3,5,4,4,4,2,3,1,1,1,1,5,2,1,2
